City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sorland,NO,67.667,12.6934,46.26,88,100,6.35,overcast clouds
80,Barrow,US,71.2906,-156.7887,32.02,93,100,6.91,overcast clouds
81,Porbandar,IN,21.6422,69.6093,81.68,83,16,15.52,few clouds
82,Cairns,AU,-16.9167,145.7667,63.07,100,18,0.0,few clouds
83,Saint George,US,37.1041,-113.5841,86.95,13,0,17.27,clear sky
84,Namatanai,PG,-3.6667,152.4333,78.37,79,100,1.86,overcast clouds
85,Port-Cartier,CA,50.0334,-66.8654,43.75,97,100,13.47,overcast clouds
86,Gijon,ES,43.5357,-5.6615,74.44,84,34,13.0,scattered clouds
87,Spring Hill,US,28.4769,-82.5255,90.03,47,0,9.22,clear sky
88,Sabang,ID,5.8933,95.3214,83.28,77,100,22.79,moderate rain
89,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,40,11.5,scattered clouds
90,Flin Flon,CA,54.7682,-101.865,55.24,62,75,8.05,broken clouds
91,Trincomalee,LK,8.5711,81.2335,81.45,77,100,21.12,overcast clouds
92,Burnie,AU,-41.0667,145.9167,48.78,88,52,4.52,broken clouds
93,Kudahuvadhoo,MV,2.6708,72.8944,84.15,71,15,13.44,few clouds
94,The Pas,CA,53.8251,-101.2541,48.22,76,100,11.5,overcast clouds
95,Vaini,TO,-21.2,-175.2,75.36,100,75,5.75,light rain
96,Ribeira Grande,PT,38.5167,-28.7,64.8,52,20,14.97,few clouds
97,Lorengau,PG,-2.0226,147.2712,78.87,76,99,2.77,overcast clouds
98,Albany,US,42.6001,-73.9662,75.16,78,89,10.27,overcast clouds
99,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,93,100,6.91,overcast clouds
100,Codrington,AU,-38.2667,141.9667,51.71,79,98,4.74,overcast clouds
101,Caconda,AO,-13.7333,15.0667,62.33,39,1,0.36,clear sky
102,Mecca,SA,21.4267,39.8261,93.04,16,0,8.03,clear sky
103,Kenai,US,60.5544,-151.2583,62.02,64,0,0.0,clear sky
104,Butaritari,KI,3.0707,172.7902,81.28,78,97,13.42,overcast clouds
105,Veselynove,UA,47.3567,31.2349,67.33,55,65,9.44,broken clouds
106,Nicolas Bravo,MX,18.45,-88.9167,82.26,72,98,3.69,overcast clouds
107,Coahuayana,MX,18.7333,-103.6833,90.73,46,99,6.76,overcast clouds
108,Leningradskiy,RU,69.3833,178.4167,29.17,88,100,2.51,overcast clouds
109,Progreso,MX,21.2833,-89.6667,86.38,59,75,11.48,broken clouds
110,Madimba,TZ,-10.4,40.3333,78.19,69,15,14.09,few clouds
111,Katangli,RU,51.7102,143.2326,35.64,99,100,4.72,overcast clouds
112,Feldkirchen,DE,48.148,11.7434,60.42,64,100,8.01,overcast clouds
113,Axim,GH,4.8699,-2.2405,82.53,73,69,8.32,broken clouds
114,Chico,US,39.7285,-121.8375,68.65,62,75,16.11,broken clouds
115,Hobart,AU,-42.8794,147.3294,42.06,92,30,0.0,scattered clouds
116,Trairi,BR,-3.2778,-39.2689,80.67,86,55,9.4,broken clouds
117,Severo-Kurilsk,RU,50.6789,156.125,44.33,96,100,3.94,overcast clouds
118,Norman Wells,CA,65.282,-126.8329,42.84,75,40,8.05,scattered clouds
119,Salta,AR,-24.7859,-65.4117,57.79,62,75,8.05,broken clouds
120,Rock Sound,BS,24.9,-76.2,79.54,75,22,11.14,few clouds
121,Cayenne,GF,4.9333,-52.3333,85.08,25,20,11.5,few clouds
122,Christchurch,NZ,-43.5333,172.6333,40.48,100,33,1.14,scattered clouds
123,San Patricio,US,28.017,-97.5169,90.88,40,10,12.41,clear sky
124,Manama,BH,26.2154,50.5832,93.38,49,0,11.5,clear sky
125,Turukhansk,RU,65.8167,87.9833,48.85,62,27,9.73,scattered clouds
126,Muravlenko,RU,63.7898,74.523,65.19,48,34,5.73,scattered clouds
127,Balabac,PH,7.9868,117.0645,81.1,76,100,4.21,overcast clouds
128,Wloclawek,PL,52.6482,19.0678,50.52,88,95,15.21,overcast clouds
129,East London,ZA,-33.0153,27.9116,65.34,88,0,5.75,clear sky
130,Jamestown,US,42.097,-79.2353,60.53,94,100,10.36,mist
131,Camana,PE,-16.6228,-72.7111,66.87,67,29,7.94,scattered clouds
132,Jining,CN,35.405,116.5814,71.73,62,81,13.89,broken clouds
133,Aksarka,RU,66.5606,67.7975,54.54,42,13,18.92,few clouds
134,Aklavik,CA,68.2191,-135.0107,33.8,75,75,4.61,broken clouds
135,Port Hardy,CA,50.6996,-127.4199,51.98,82,75,5.75,broken clouds
136,Havoysund,NO,70.9963,24.6622,55.63,83,21,13.06,few clouds
137,Bara,NG,10.3744,10.7288,98.51,19,13,9.69,few clouds
138,Kaitangata,NZ,-46.2817,169.8464,42.15,90,32,4.0,scattered clouds
139,San Martin,AR,-33.081,-68.4681,55.94,44,3,3.42,clear sky
140,Lebu,CL,-37.6167,-73.65,48.45,61,1,16.84,clear sky
141,Reforma,MX,18.1,-91.0167,84.0,65,93,7.34,overcast clouds
142,Mahanoro,MG,-19.9,48.8,69.84,86,65,7.7,moderate rain
143,Fukue,JP,32.6881,128.8419,67.62,79,100,7.67,light rain
144,Leshukonskoye,RU,64.8989,45.7622,56.05,69,82,8.61,broken clouds
145,Salalah,OM,17.0151,54.0924,84.29,79,20,9.22,few clouds
146,Ajdabiya,LY,30.7554,20.2263,78.26,55,30,14.32,scattered clouds
147,Pecos,US,31.4229,-103.4932,95.09,16,0,3.44,clear sky
148,Mombetsu,JP,44.3525,143.3525,45.81,97,100,16.53,overcast clouds
149,Rawson,AR,-43.3002,-65.1023,46.38,46,54,24.4,broken clouds
150,Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,54,0,12.66,clear sky
151,Tongliao,CN,43.6125,122.2653,70.11,43,80,14.54,broken clouds
152,Muros,ES,42.7762,-9.0603,75.83,45,1,1.57,clear sky
153,Aranos,NA,-24.1333,19.1167,68.45,20,4,3.71,clear sky
154,General Roca,AR,-39.0333,-67.5833,48.61,22,0,13.15,clear sky
155,Namibe,AO,-15.1961,12.1522,65.77,82,24,7.94,few clouds
156,Susehri,TR,40.1644,38.0867,65.34,60,43,4.41,scattered clouds
157,Iqaluit,CA,63.7506,-68.5145,29.93,86,40,17.27,scattered clouds
158,Kargasok,RU,59.0556,80.8572,64.2,54,87,1.41,overcast clouds
159,Hirara,JP,24.8,125.2833,79.97,90,74,14.36,broken clouds
160,Brokopondo,SR,4.75,-55.1667,83.77,62,37,1.34,scattered clouds
161,Thompson,CA,55.7435,-97.8558,46.56,61,40,4.61,scattered clouds
162,Horsham,GB,51.064,-0.3272,63.88,45,0,6.91,clear sky
163,Itarema,BR,-2.9248,-39.9167,82.15,78,27,12.44,scattered clouds
164,Price,US,39.5994,-110.8107,71.11,18,0,13.8,clear sky
165,Ikom,NG,5.9667,8.7063,77.49,85,99,1.7,overcast clouds
166,Cidreira,BR,-30.1811,-50.2056,63.95,94,98,4.41,overcast clouds
167,Mineiros,BR,-17.5694,-52.5511,82.62,33,0,7.85,clear sky
168,Longyearbyen,SJ,78.2186,15.6401,49.84,53,40,12.66,scattered clouds
169,Klaksvik,FO,62.2266,-6.589,49.12,76,5,22.21,clear sky
170,Guarapari,BR,-20.6667,-40.4975,78.89,61,100,12.68,overcast clouds
171,Malacatancito,GT,15.2167,-91.5167,72.45,73,75,4.61,broken clouds
172,Anadyr,RU,64.75,177.4833,41.5,80,0,6.71,clear sky
173,Aykhal,RU,66.0,111.5,40.71,53,78,4.83,broken clouds
174,Kushmurun,KZ,52.4503,64.6311,59.07,63,46,7.63,scattered clouds
175,Taseyevo,RU,57.2169,94.8978,47.53,51,5,3.62,clear sky
176,Constitucion,CL,-35.3333,-72.4167,53.33,45,97,7.02,overcast clouds
177,Parintins,BR,-2.6283,-56.7358,91.17,46,45,5.23,scattered clouds
178,Dongsheng,CN,39.8161,109.9776,62.76,61,99,23.62,light rain
179,Nabire,ID,-3.3667,135.4833,75.6,91,75,3.27,broken clouds
180,Srednekolymsk,RU,67.45,153.6833,45.0,51,82,3.02,broken clouds
181,Killybegs,IE,54.6333,-8.45,58.71,68,81,10.83,broken clouds
182,Port Alfred,ZA,-33.5906,26.891,64.18,73,3,5.01,clear sky
183,Inirida,CO,3.8653,-67.9239,86.65,63,81,1.1,broken clouds
184,Channel-Port Aux Basques,CA,47.5702,-59.1367,43.86,96,100,29.62,overcast clouds
185,Ankazoabo,MG,-22.2833,44.5167,65.88,47,0,7.76,clear sky
186,Pokrovsk,UA,48.282,37.1758,58.23,85,50,6.33,scattered clouds
187,Nanortalik,GL,60.1432,-45.2371,41.4,78,98,9.17,overcast clouds
188,Caravelas,BR,-17.7125,-39.2481,79.29,60,67,6.44,broken clouds
189,Sal Rei,CV,16.1833,-22.9167,79.0,65,40,14.97,scattered clouds
190,Yar-Sale,RU,66.8333,70.8333,48.43,48,11,18.54,few clouds
191,Bandar,ID,2.05,99.75,72.28,94,95,3.29,overcast clouds
192,Lodja,CD,-3.4833,23.4333,69.33,98,100,2.01,light rain
193,Roald,NO,62.5833,6.1333,49.75,87,75,11.5,light intensity drizzle
