City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
267,Manokwari,ID,77.59,clear sky,-0.8667,134.0833,Swiss Belhotel Manokwari
269,Santa Rosa,PH,80.58,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
270,Safaga,EG,84.29,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
277,Cockburn Town,TC,80.37,clear sky,21.4612,-71.1419,Osprey Beach Hotel
278,Narasannapeta,IN,86.54,broken clouds,18.4167,84.05,AVK events and catering
281,Gizo,SB,81.5,light rain,-8.103,156.8419,Imagination Island
284,Guerrero,MX,82.27,overcast clouds,17.6667,-100.0,Villaxochilt
288,Faya,SA,75.72,few clouds,18.3851,42.4509,املاك خالد الشعشوع
300,Namuac,PH,80.13,few clouds,18.6109,121.1657,Mlin Hotel
307,Itacare,BR,79.93,few clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
308,Porto De Moz,BR,82.58,scattered clouds,-1.7483,-52.2383,Dormitório labelle
309,Leon,MX,82.81,few clouds,21.1167,-101.6667,Enterprise Inn Poliforum
314,Tabuk,PH,76.3,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
320,Oranjestad,AW,85.95,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
324,Prainha,BR,84.34,few clouds,-1.8,-53.48,Casa Rocha
326,Tautira,PF,79.84,few clouds,-17.7333,-149.15,Pension Oaoa
329,Upata,VE,89.89,overcast clouds,8.0086,-62.3989,Posada Villa Nela
332,Arinos,BR,86.45,few clouds,-15.9169,-46.1056,casa do bruno
333,Sur,OM,89.4,clear sky,22.5667,59.5289,Sur Plaza Hotel
348,Pierre,US,79.29,clear sky,44.3683,-100.351,Ramkota Hotel
349,Auki,SB,76.15,overcast clouds,-8.7676,160.7034,Auki Motel
351,Westport,US,76.44,mist,41.1415,-73.3579,The Westport Inn
352,Shiraz,IR,81.84,clear sky,29.6036,52.5388,Shams Hotel
359,Bac Lieu,VN,80.04,moderate rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
362,Kokopo,PG,76.41,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
363,Ewa Beach,US,75.15,overcast clouds,21.3156,-158.0072,Base Lodging
368,Orocue,CO,83.44,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
371,Hami,CN,77.23,scattered clouds,42.8,93.45,Laoyutang Resort
373,Villa De Reyes,MX,76.51,clear sky,21.8,-100.9333,HOTEL MARIA NATALIA
375,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
378,Arantangi,IN,81.28,broken clouds,10.1667,78.9833,Hotel Sami V Landmarks
381,Iguape,BR,82.08,few clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
384,Custoias,PT,87.12,clear sky,41.1053,-7.321,Casa Do Adro / Solar Corte Real - José Carlos Pereira Corte Real
389,Catia La Mar,VE,89.98,scattered clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
402,Alto Araguaia,BR,84.02,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
405,Carutapera,BR,81.52,broken clouds,-1.195,-46.02,Lidera
409,Dingle,PH,77.54,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
410,Bushehr,IR,82.49,clear sky,28.9684,50.8385,Yas Hotel
412,Banjarmasin,ID,77.14,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
414,Sestri Levante,IT,82.17,scattered clouds,44.2732,9.3968,Grande Albergo
415,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
416,Waingapu,ID,76.98,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
423,Banda Aceh,ID,80.24,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
425,Tarakan,ID,76.5,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
